bairro,logradouro,venda_itbi_rs_m2,venal_iptu_rs_m2,premio_mercado,n_vendas,n_imoveis_iptu
JARDIM ISABEL,RUA JOAO MENDES OURIQUES,3800,2522,1.51,15,107
JARDIM ISABEL,RUA CONRADO FERRARI,3742,3011,1.24,7,36
JARDIM ISABEL,RUA MORANO CALABRO,3688,3323,1.11,6,57
JARDIM ISABEL,RUA JOSE PEDRO DE MOURA,3670,3197,1.15,4,15
JARDIM ISABEL,RUA JOSE KANAN ARANHA,3630,3252,1.12,3,33
JARDIM ISABEL,RUA DR ARNALDO DA SILVA FERREIRA,3479,3034,1.15,9,71
JARDIM ISABEL,RUA CONSELHEIRO XAVIER DA COSTA,3419,3465,0.99,14,82
JARDIM ISABEL,RUA JOSE SANGUINETTI,3408,3391,1.01,7,36
JARDIM ISABEL,RUA DR GUILHERME SCHULTZ FILHO,3384,2623,1.29,5,13
JARDIM ISABEL,RUA EDGAR LUIZ SCHNEIDER,3208,2998,1.07,17,106
JARDIM ISABEL,RUA DAVID FRANCISCO MAURICIO,3118,3840,0.81,9,14
