bairro,logradouro,n_transacoes,rs_m2_mediana
MORRO SANTANA,Avenida ANTONIO GIUDICE,17,4397
MORRO SANTANA,Avenida EMILIO SCHLABITZ NETO,11,3667
MORRO SANTANA,Avenida GERMANO SCHMARCZEK,65,4359
MORRO SANTANA,Avenida MAE APOLINARIA MATIAS BATISTA,18,3338
MORRO SANTANA,Avenida MARIO MENEGHETTI,8,3997
MORRO SANTANA,Avenida NILO RUSCHEL,22,2098
MORRO SANTANA,Avenida PROTASIO ALVES,399,4469
MORRO SANTANA,Avenida RACHEL WOLFRID,4,3243
MORRO SANTANA,Beco SOUZA COSTA,58,4369
MORRO SANTANA,Rua ALMIRO COIMBRA,5,2506
MORRO SANTANA,Rua AMADEU F DE OLIVEIRA FREITAS,40,3265
MORRO SANTANA,Rua CARLOS BELINZONI,3,1893
MORRO SANTANA,Rua DR JOSE BENTO CORREA,43,3939
MORRO SANTANA,Rua EMILIO OTTO,5,2407
MORRO SANTANA,Rua ERNESTO ZAMPROGNA,39,3552
MORRO SANTANA,Rua ESPIR RIVALDO,7,3478
MORRO SANTANA,Rua EVA LACI CAMARGO MARTINS,31,3364
MORRO SANTANA,Rua HUGO LIVI,37,3254
MORRO SANTANA,Rua JOAO DA SILVA BUENO,193,5386
MORRO SANTANA,Rua JOAO DALLEGRAVE,3,6155
MORRO SANTANA,Rua JOSE CARLOS BATISTA DOS SANTOS,3,3191
MORRO SANTANA,Rua JOSE LEWGOY,4,3123
MORRO SANTANA,Rua LUIS LEDERMAN,53,3123
MORRO SANTANA,Rua MADRE MARIA SELIMA,5,4090
MORRO SANTANA,Rua MARIETA MENNA BARRETO,35,3083
MORRO SANTANA,Rua MARIO DE LIMA HORNES,5,3632
MORRO SANTANA,Rua NEY DA GAMA AHRENDS,107,3921
MORRO SANTANA,Rua PADRE MAXIMO COGHETTO,27,3097
MORRO SANTANA,Rua PAULO MADUREIRA COELHO,18,4756
MORRO SANTANA,Rua REV DANIEL BETTS,7,5043
MORRO SANTANA,Rua SYLVIO TORRES,6,2641
MORRO SANTANA,Rua TEN ARY TARRAGO,8,3745
MORRO SANTANA,Travessa ESPORTE CLUBE CRUZEIRO,39,4611
NAVEGANTES,Avenida BAHIA,4,4014
NAVEGANTES,Avenida BRASIL,8,2647
NAVEGANTES,Avenida CEARA,3,15645
NAVEGANTES,Avenida FARRAPOS,16,2727
NAVEGANTES,Avenida FRANCA,19,3627
NAVEGANTES,Avenida PERNAMBUCO,17,2878
NAVEGANTES,Avenida PRESIDENTE FRANKLIN ROOSEVELT,11,3281
NAVEGANTES,Avenida SERTORIO,9,2772
NAVEGANTES,Rua ARABUTAN,16,3087
NAVEGANTES,Rua BEIRUTE,3,10345
NAVEGANTES,Rua CAIRU,47,3115
NAVEGANTES,Rua DEZOITO DE NOVEMBRO,3,2907
NAVEGANTES,Rua DONA MARGARIDA,6,2664
NAVEGANTES,Rua DR JOAO INACIO,39,5160
NAVEGANTES,Rua FREDERICO MENTZ,5,2500
NAVEGANTES,Rua PADRE DIOGO FEIJO,8,2865
NAVEGANTES,Rua SANTOS PEDROSO,4,2138
NAVEGANTES,Rua VINTE CINCO DE FEVEREIRO,5,1997
NONOAI,Avenida CRUZ ALTA,5,3200
NONOAI,Avenida FABIO ARAUJO SANTOS,129,3560
NONOAI,Avenida NONOAI,23,3958
NONOAI,Avenida QUARAI,15,2485
NONOAI,Avenida SAO SEBASTIAO,6,3450
NONOAI,Avenida VICENTE MONTEGGIA,6,2954
NONOAI,Rua ALCEBIADES ANTONIO DOS SANTOS,17,3700
NONOAI,Rua ALFREDO SILVEIRA DIAS,3,3182
NONOAI,Rua CACHOEIRA,3,2987
NONOAI,Rua CANGUSSU,20,3617
NONOAI,Rua COELHO DA COSTA,3,3238
NONOAI,Rua COSTA LIMA,71,4888
NONOAI,Rua DARIO TOTTA,88,6497
NONOAI,Rua DONA OTILIA,4,2608
NONOAI,Rua DR CAMPOS VELHO,244,5176
NONOAI,Rua DR NEY CABRAL,11,2901
NONOAI,Rua ERECHIM,22,3442
NONOAI,Rua FREDERICO ETZBERGER,46,6122
NONOAI,Rua GABRIEL MASCARELLO,4,2964
NONOAI,Rua GREGORIO DA FONSECA,3,2303
NONOAI,Rua INVESTIGADOR PEDRO LOECI MARTINS,3,3245
NONOAI,Rua JAMIL ANTONIO JOSE,5,3240
NONOAI,Rua JOAO MAIA,9,2454
NONOAI,Rua MARCELINO RAMOS,3,3646
NONOAI,Rua MARCIO DIAS,4,2265
NONOAI,Rua MATA COELHO,5,3364
NONOAI,Rua MENEZES PAREDES,9,2829
NONOAI,Rua MONTE ARRAES,36,4405
NONOAI,Rua OCTAVIO DE SOUZA,46,3617
NONOAI,Rua ORFANOTROFIO,202,3191
NONOAI,Rua SANTA FLORA,4,2877
NONOAI,Rua SEBASTIAO WOLF,5,3716
NONOAI,Rua SEPE TIARAJU,9,3962
NONOAI,Rua TAVEIRA JUNIOR,7,4067
PARQUE STA FE,Avenida BALTAZAR DE OLIVEIRA GARCIA,3,3101
PARQUE STA FE,Avenida DELMAR ROCHA BARBOSA,23,3012
PARQUE STA FE,Avenida DR PETRONIO PORTELLA,3,2314
PARQUE STA FE,Avenida DR SAULO COELHO,3,2067
PARQUE STA FE,Avenida EDU LAS-CASAS,146,3361
PARQUE STA FE,Avenida IRENE RUPERTI,6,2827
PARQUE STA FE,Avenida JOAO FERREIRA JARDIM,127,3723
PARQUE STA FE,Rua ABDO JORGE CURI,10,3013
PARQUE STA FE,Rua ALOISIO OLYMPIO DE MELLO,16,2602
PARQUE STA FE,Rua ALVARO DOMINGUES,19,2623
PARQUE STA FE,Rua DR JOAO CESAR KRIEGER,3,3269
PARQUE STA FE,Rua DR OSVALDO DEGRAZIA,3,2840
PARQUE STA FE,Rua FLORENCA,3,2056
PARQUE STA FE,Rua FRANCISCA LECHNER,6,2203
PARQUE STA FE,Rua GEN TELINO CHAGASTELLES,23,2708
PARQUE STA FE,Rua HERMES PEREIRA DE SOUZA,4,1871
PARQUE STA FE,Rua HERMINIO LEAL DE ALBUQUERQUE,6,3712
PARQUE STA FE,Rua HUGO NELSON MAGALHAES,6,4175
PARQUE STA FE,Rua JOSE CARLOS DE SOUZA LOBO,4,2297
PARQUE STA FE,Rua LAURO RODRIGUES,4,3095
PARQUE STA FE,Rua LOLA DE OLIVEIRA,3,2877
PARQUE STA FE,Rua MAESTRO LEO W SCHNEIDER,3,3000
PARQUE STA FE,Rua MARIA ELAINE WOTTER,4,2741
PARQUE STA FE,Rua MARIA LUIZA FETTERMANN,6,3213
PARQUE STA FE,Rua OCTAVIO SAGEBIN,9,2644
PARQUE STA FE,Rua OSMINDO JULIO KUHN,8,3981
PARQUE STA FE,Rua PASTOR BOLL,4,3176
PARQUE STA FE,Rua PROF ALVARO BARCELLOS FERREIRA,13,3553
PARQUE STA FE,Rua RAYMUNDO LUIZ MARINHO FILHO,4,3415
PARQUE STA FE,Rua REV OLAVO NUNES,906,5500
PARQUE STA FE,Rua RUDI SCHALY,9,2300
PARQUE STA FE,Rua SAARA,6,2676
PARTENON,Avenida BENTO GONCALVES,147,3383
PARTENON,Avenida CEL APARICIO BORGES,48,4754
PARTENON,Avenida CERES,54,5602
PARTENON,Avenida DOS BURGUESES,64,4534
PARTENON,Avenida DOS CUBANOS,263,9266
PARTENON,Avenida ELIAS CIRNE LIMA,9,3586
PARTENON,Avenida IPIRANGA,190,4485
PARTENON,Rua ALBION,146,3556
PARTENON,Rua ALEXANDRE SNEL,5,3701
PARTENON,Rua ANTONIO MARANGHELLO,11,3838
PARTENON,Rua ARTUR DE OLIVEIRA,13,3303
PARTENON,Rua AURELIO PORTO,34,4557
PARTENON,Rua BARAO DO AMAZONAS,76,4234
PARTENON,Rua BATISTA XAVIER,12,4112
PARTENON,Rua BENTO DE AMARAL,11,4287
PARTENON,Rua CAIEIRA,3,1673
PARTENON,Rua CAPITAO ARISOLY VARGAS,43,3631
PARTENON,Rua CAPITAO PEDRO WERLANG,150,6219
PARTENON,Rua CEL JAIME DA COSTA PEREIRA,18,3375
PARTENON,Rua CEL JOSE RODRIGUES SOBRAL,20,3696
PARTENON,Rua CEL VILLAGRAN CABRITA,11,2662
PARTENON,Rua DAMASCENO VIEIRA,5,3046
PARTENON,Rua DOZE DE OUTUBRO,7,3050
PARTENON,Rua DR FELIX CONTREIRAS RODRIGUES,15,4969
PARTENON,Rua DR FERNANDO ORTIZ SCHNEIDER,4,4824
PARTENON,Rua DR FRANCISCO DE SA BRITO,3,3110
PARTENON,Rua DR GALENO PIANTA,14,3823
PARTENON,Rua DR LOSSIO,4,3470
PARTENON,Rua DR PEDRO MOTTA,4,3450
PARTENON,Rua DR PEREIRA DA CUNHA,5,3173
PARTENON,Rua DR TELMO VERGARA,8,4098
PARTENON,Rua EUCLYDES DA CUNHA,42,3589
PARTENON,Rua EUCLYDES MIRANDA,13,3401
PARTENON,Rua EVARISTO DA VEIGA,15,4806
PARTENON,Rua FATIMA,4,4416
PARTENON,Rua FREI GERMANO,126,5683
PARTENON,Rua GOMES JARDIM,32,5246
PARTENON,Rua GONCALVES LEDO,17,4026
PARTENON,Rua GUILHERME ALVES,78,4439
PARTENON,Rua HOMEM DE MELLO,5,3117
PARTENON,Rua HUMBERTO DE CAMPOS,16,2545
PARTENON,Rua IVO JANSON,9,4913
PARTENON,Rua JOAO BONUMA,9,3740
PARTENON,Rua JOAQUIM NORBERTO,3,2753
PARTENON,Rua JOAQUIM SERRA,3,4348
PARTENON,Rua LUIZ DE CAMOES,45,4978
PARTENON,Rua MACHADO DE ASSIS,23,4890
PARTENON,Rua MARCONE,35,3738
PARTENON,Rua MARTIM MINABERRY,6,3023
PARTENON,Rua MOACIR SANTANA,17,4105
PARTENON,Rua MONTEIRO LOBATO,29,4727
PARTENON,Rua NARCISA AMALIA,3,1532
PARTENON,Rua NELSON ZANG,69,3800
PARTENON,Rua OLAVO DUTRA,16,3822
PARTENON,Rua OSWALDO PEREIRA DE FREITAS,30,4472
PARTENON,Rua PADRE TODESCO,30,5196
PARTENON,Rua PAISSANDU,7,4002
PARTENON,Rua PAULINO AZURENHA,9,2950
PARTENON,Rua PEDRO BOTICARIO,7,3696
PARTENON,Rua PEDRO PEREIRA DE SOUZA,4,5357
PARTENON,Rua PEDRO VELHO,12,3113
PARTENON,Rua PINTO DA ROCHA,5,3471
PARTENON,Rua PORTUGUESA,45,4071
PARTENON,Rua PRIMEIRO DE MAIO,4,4333
PARTENON,Rua PROF CRISTIANO FISCHER,42,5476
PARTENON,Rua PROF GUERREIRO LIMA,31,4555
PARTENON,Rua RAFAEL CLARK,3,2447
PARTENON,Rua RIVADAVIA CORREIA,5,3372
PARTENON,Rua ROCHA POMBO,10,4199
PARTENON,Rua RUBEM ANTONIO DA SILVA,17,4217
PARTENON,Rua SANTA CLARA,3,2496
PARTENON,Rua SAO FRANCISCO,37,5558
PARTENON,Rua SAO GUILHERME,65,3908
PARTENON,Rua SAO LUIZ,66,5167
PARTENON,Rua SAO MANOEL,42,7171
PARTENON,Rua TEN ALPOIM,4,6452
PARTENON,Rua TOBIAS BARRETO,24,3706
PARTENON,Rua VEADOR PORTO,49,5882
PARTENON,Rua VERISSIMO ROSA,23,4008
PARTENON,Rua WALDOMIRO SCHAPKE,11,3426
PASSO DA AREIA,Avenida ASSIS BRASIL,57,3198
PASSO DA AREIA,Avenida BRASILIANO INDIO DE MORAES,60,3505
PASSO DA AREIA,Avenida CAMBAI,3,3138
PASSO DA AREIA,Avenida CARNEIRO DA FONTOURA,3,3593
PASSO DA AREIA,Avenida DOS INDUSTRIARIOS,26,3661
PASSO DA AREIA,Avenida GRECIA,79,7594
PASSO DA AREIA,Avenida JOAO WALLIG,311,11199
PASSO DA AREIA,Avenida PLINIO BRASIL MILANO,86,3759
PASSO DA AREIA,Avenida TAPIACU,14,3903
PASSO DA AREIA,Lago DA  BANDEIRA,3,3765
PASSO DA AREIA,PCA DR GASTAO SANTOS,17,7778
PASSO DA AREIA,PraÃ§a DR GASTAO SANTOS,10,8366
PASSO DA AREIA,Rua ACELIO DAUDT,30,8016
PASSO DA AREIA,Rua ACORES,18,4118
PASSO DA AREIA,Rua ANDARAI,98,7234
PASSO DA AREIA,Rua ANITA GARIBALDI,28,4796
PASSO DA AREIA,Rua ANTONIO JOAQUIM MESQUITA,13,4184
PASSO DA AREIA,Rua ARIOVALDO PINHEIRO,27,5467
PASSO DA AREIA,Rua ARROIO DO MEIO,5,3534
PASSO DA AREIA,Rua ARTUR FABIAO CARNEIRO,33,6667
PASSO DA AREIA,Rua ATANASIO BELMONTE,47,10006
PASSO DA AREIA,Rua AZEVEDO SODRE,86,10398
PASSO DA AREIA,Rua BARAO DE TRAMANDAI,17,3687
PASSO DA AREIA,Rua BEZERRA DE MENEZES,42,6277
PASSO DA AREIA,Rua CAXIAS DO SUL,3,3855
PASSO DA AREIA,Rua CEL FEIJO,4,4313
PASSO DA AREIA,Rua CEL JOAO CORREA,92,4011
PASSO DA AREIA,Rua CRISTOVAO PEREIRA,12,3683
PASSO DA AREIA,Rua DOM PEDRITO,16,3797
PASSO DA AREIA,Rua DR ARY RAMOS DE LIMA,3,3873
PASSO DA AREIA,Rua DR EDUARDO CHARTIER,28,5842
PASSO DA AREIA,Rua GEN PEDRO BITTENCOURT,19,6660
PASSO DA AREIA,Rua GEN TASSO FRAGOSO,7,5436
PASSO DA AREIA,Rua GERALDO SOUZA MOREIRA,17,7099
PASSO DA AREIA,Rua GUILHERME KLIPPEL,7,5316
PASSO DA AREIA,Rua ITAPEVA,39,5489
PASSO DA AREIA,Rua JARI,175,8298
PASSO DA AREIA,Rua JARY,43,8828
PASSO DA AREIA,Rua JOAO DE MAGALHAES,5,3816
PASSO DA AREIA,Rua JOSE CARLOS FERREIRA,10,4149
PASSO DA AREIA,Rua JOSE SCUTARI,33,6795
PASSO DA AREIA,Rua KIEV,11,9291
PASSO DA AREIA,Rua LEOPOLDO DE FREITAS,7,3875
PASSO DA AREIA,Rua LIBERO BADARO,20,5658
PASSO DA AREIA,Rua LUIZ COSME,34,6195
PASSO DA AREIA,Rua MARECHAL JOSE INACIO DA SILVA,10,4900
PASSO DA AREIA,Rua MARECHAL SIMEAO,3,4792
PASSO DA AREIA,Rua NOVA PRATA,6,3756
PASSO DA AREIA,Rua NOVO HAMBURGO,3,2477
PASSO DA AREIA,Rua PAULO SETUBAL,32,6988
PASSO DA AREIA,Rua RAMIS GALVAO,4,7143
PASSO DA AREIA,Rua RIO PARDO,6,4022
PASSO DA AREIA,Rua ROQUE CALAGE,108,6891
PASSO DA AREIA,Rua ROQUE CALLAGE,123,5527
PASSO DA AREIA,Rua SANTA ROSA,7,3563
PASSO DA AREIA,Rua SANTIAGO,11,4417
PASSO DA AREIA,Rua SAO JERONIMO,3,3922
PASSO DA AREIA,Rua SAPE,22,4433
PASSO DA AREIA,Rua SILVA TAVARES,3,2325
PASSO DA AREIA,Rua SOBRADINHO,3,6256
PASSO DA AREIA,Rua SOROCABA,17,3288
PASSO DA AREIA,Rua SPORT CLUB SAO JOSE,11,3790
PASSO DA AREIA,Rua TUPANCIRETA,7,4241
PASSO DA AREIA,Rua TUPARAI,10,4010
PASSO DA AREIA,Rua TUPI,3,4830
PASSO DA AREIA,Rua UBATUBA,7,4525
PASSO DA AREIA,Rua UMBU,35,4127
PASSO DA AREIA,Rua VALENTIM VICENTINI,5,4426
PASSO DA AREIA,Rua VERANOPOLIS,35,3824
PASSO DA AREIA,Rua VINTE QUATRO DE JUNHO,9,3902
PASSO DA AREIA,Rua VISCONDE DE PELOTAS,36,3806
PASSO DA AREIA,Travessa JAGUARAO,5,4445
PASSO DAS PEDRA,Avenida BALTAZAR DE OLIVEIRA GARCIA,3,3386
PASSO DAS PEDRA,Avenida CASCAIS,116,4516
PASSO DAS PEDRA,Avenida KARL IWERS,1049,4875
PASSO DAS PEDRA,Rua COMANDANTE CALEFFI,4,2767
PASSO DAS PEDRA,Rua DEPUTADO HUGO MARDINI,48,3880
PASSO DAS PEDRA,Rua DEZIDERIO SEVERINO,8,4112
PASSO DAS PEDRA,Rua TEN ARY TARRAGO,85,5251
PASSO DAS PEDRA,Rua ZEFERINO DUTRA,3,5263
PASSO PEDRAS,Avenida CASCAIS,16,4400
PASSO PEDRAS,Avenida KARL IWERS,73,6503
PASSO PEDRAS,Rua DEPUTADO HUGO MARDINI,15,3886
PASSO PEDRAS,Rua TEN ARY TARRAGO,37,5101
PEDRA REDONDA,Avenida CEL MARCOS,37,6141
PEDRA REDONDA,Rua DR NEY DE CASTILHOS FERREIRA,5,4663
PEDRA REDONDA,Travessa PEDRA REDONDA,4,3166
PETROPOLIS,Avenida ALEGRETE,114,5255
PETROPOLIS,Avenida BAGE,175,7288
PETROPOLIS,Avenida CACAPAVA,34,4852
PETROPOLIS,Avenida CARLOS GOMES,16,5085
PETROPOLIS,Avenida CEL LUCAS DE OLIVEIRA,221,5223
PETROPOLIS,Avenida ENCANTADO,44,8632
PETROPOLIS,Avenida GUAPORE,53,11532
PETROPOLIS,Avenida IGUASSU,74,5878
PETROPOLIS,Avenida IJUI,65,6696
PETROPOLIS,Avenida ITAJAI,90,9409
PETROPOLIS,Avenida ITAQUI,28,4246
PETROPOLIS,Avenida JOAO OBINO,41,10651
PETROPOLIS,Avenida LAGEADO,144,7367
PETROPOLIS,Avenida LAVRAS,101,5398
PETROPOLIS,Avenida LUIZ MANOEL GONZAGA,35,9414
PETROPOLIS,Avenida MONTENEGRO,51,5911
PETROPOLIS,Avenida NEUSA GOULART BRIZOLA,10,5299
PETROPOLIS,Avenida NILOPOLIS,16,6136
PETROPOLIS,Avenida PALMEIRA,45,6986
PETROPOLIS,Avenida PIRAPO,24,5962
PETROPOLIS,Avenida PROTASIO ALVES,210,3886
PETROPOLIS,Avenida SENADOR TARSO DUTRA,124,12414
PETROPOLIS,Avenida SOLEDADE,97,14264
PETROPOLIS,Avenida TAQUARA,34,5461
PETROPOLIS,PCA NACOES UNIDAS,5,4747
PETROPOLIS,PCA TAMANDARE,3,5912
PETROPOLIS,PraÃ§a NACOES UNIDAS,11,5242
PETROPOLIS,Rua ALVARES MACHADO,20,4598
PETROPOLIS,Rua AMELIA TELES,41,4396
PETROPOLIS,Rua ARMANDO PEREIRA CAMARA,7,10667
PETROPOLIS,Rua ARTIGAS,56,4621
PETROPOLIS,Rua BARAO DO AMAZONAS,93,4434
PETROPOLIS,Rua BORGES DO CANTO,20,7649
PETROPOLIS,Rua BUENOS AIRES,37,7791
PETROPOLIS,Rua CAMERINO,10,6004
PETROPOLIS,Rua CARAZINHO,51,5428
PETROPOLIS,Rua CARLOS DE CARVALHO,7,4926
PETROPOLIS,Rua CARVALHO MONTEIRO,21,6390
PETROPOLIS,Rua CEL CORTE REAL,136,5802
PETROPOLIS,Rua CHILE,18,5594
PETROPOLIS,Rua CURVELO,53,14320
PETROPOLIS,Rua DARIO PEDERNEIRAS,94,6881
PETROPOLIS,Rua DES ALVES NOGUEIRA,17,7462
PETROPOLIS,Rua DES AUGUSTO LOUREIRO LIMA,13,10146
PETROPOLIS,Rua DONA ALICE,11,4229
PETROPOLIS,Rua DONA EUGENIA,46,5703
PETROPOLIS,Rua DONA LUCIA,4,3313
PETROPOLIS,Rua DONA OTI,25,6026
PETROPOLIS,Rua DR JOAO DUTRA,9,6790
PETROPOLIS,Rua DR VERIDIANO FARIAS,9,8980
PETROPOLIS,Rua ECA DE QUEIROZ,146,7587
PETROPOLIS,Rua ENG ANTONIO CARLOS TIBIRICA,24,3056
PETROPOLIS,Rua ENG ROBERTO SIMONSEN,3,4256
PETROPOLIS,Rua FARIA SANTOS,79,8985
PETROPOLIS,Rua FELIPE DE OLIVEIRA,78,6748
PETROPOLIS,Rua FELIZARDO,38,4643
PETROPOLIS,Rua FELIZARDO FURTADO,65,4675
PETROPOLIS,Rua FERREIRA VIANA,139,5034
PETROPOLIS,Rua GEN SOUZA DOCA,15,4524
PETROPOLIS,Rua GUARARAPES,22,6834
PETROPOLIS,Rua GUILHERME ALVES,32,4956
PETROPOLIS,Rua GUTEMBERG,12,9924
PETROPOLIS,Rua HERETIANO ROCHA,3,5837
PETROPOLIS,Rua ITABORAI,4,5466
PETROPOLIS,Rua JAIME TELES,47,10849
PETROPOLIS,Rua JOAO ABBOTT,46,5468
PETROPOLIS,Rua JOAO CAETANO,16,6963
PETROPOLIS,Rua LA PLATA,3,2810
PETROPOLIS,Rua LAGOINHA,7,4725
PETROPOLIS,Rua LUIZ SO,25,10432
PETROPOLIS,Rua MACHADO DE ASSIS,4,8107
PETROPOLIS,Rua MARANGUAPE,14,6643
PETROPOLIS,Rua MARIO ANTUNES DA CUNHA,97,10575
PETROPOLIS,Rua MARIO LEITAO,14,9885
PETROPOLIS,Rua MARIZ E BARROS,95,13214
PETROPOLIS,Rua MURILO FURTADO,25,5424
PETROPOLIS,Rua PERPETUA TELES,28,5481
PETROPOLIS,Rua PROF CRISTIANO FISCHER,13,9409
PETROPOLIS,Rua PROF FITZGERALD,23,10957
PETROPOLIS,Rua PROF IVO CORSEUIL,30,9812
PETROPOLIS,Rua PROF LANGENDONCK,17,7729
PETROPOLIS,Rua REGENTE,24,14325
PETROPOLIS,Rua REIS LOUZADA,12,7493
PETROPOLIS,Rua RIVEIRA,47,6081
PETROPOLIS,Rua SACADURA CABRAL,11,5730
PETROPOLIS,Rua SANTOS NETO,48,6675
PETROPOLIS,Rua SINIMBU,26,6296
PETROPOLIS,Rua TOROPI,27,8699
PETROPOLIS,Rua VICENTE DA FONTOURA,41,4323
PETROPOLIS,Rua VISCONDE DE DUPRAT,35,5932
PETROPOLIS,Rua VITOR HUGO,14,6992
PETROPOLIS,Travessa CEL ANTONIO CARNEIRO PINTO,11,6636
PETROPOLIS,Travessa PROF TUPI CALDAS,31,10650
PITINGA,Estrada JOAO ANTONIO SILVEIRA,6,1980
PONTA GROSSA,Avenida JUCA BATISTA,8,3103
PONTA GROSSA,Avenida PRINCIPAL DA PONTA GROSSA,17,3864
PONTA GROSSA,Beco DOMIENCE SILVA,3,3333
PONTA GROSSA,Estrada DA  PONTA GROSSA,3,8889
PONTA GROSSA,Estrada RETIRO DA PONTA GROSSA,3,1625
PONTA GROSSA,Rua DAS ESPATODEAS,34,3636
PONTA GROSSA,Rua ILTON MOREIRA DE SOUZA,37,6322
PONTA GROSSA,Rua JESSE SILVA,4,2500
PONTA GROSSA,Rua VITOLDO FRANCISCO KROLIKOWSKI,3,1686
PRAIA DE BELAS,Avenida BORGES DE MEDEIROS,67,10466
PRAIA DE BELAS,Avenida PRAIA DE BELAS,14,3858
PRAIA DE BELAS,Rua CELESTE GOBBATO,46,4484
PRAIA DE BELAS,Rua DR VICENTE DE PAULA DUTRA,19,4364
PRAIA DE BELAS,Rua DRA RITA LOBATO,17,4391
PRAIA DE BELAS,Rua EDMUNDO BITENCOURT,15,3286
PRAIA DE BELAS,Rua GEN SERGIO OLIVEIRA,24,3902
PRAIA DE BELAS,Rua ISMAEL CHAVES BARCELOS,6,3697
RESTINGA,Avenida DR JOAO DENTICE,4,1520
RESTINGA,Avenida ECON NILO WULFF,46,2500
RESTINGA,Avenida EDGAR PIRES DE CASTRO,96,3665
RESTINGA,Avenida IGNES E FAGUNDES,36,2240
RESTINGA,Avenida MACEDONIA,12,3031
RESTINGA,Estrada BARRO VERMELHO,364,3354
RESTINGA,Estrada CHACARA DO BANCO,350,5502
RESTINGA,Estrada COSTA GAMA,112,4546
RESTINGA,Estrada JOAO ANTONIO SILVEIRA,173,4549
RESTINGA,Rua ADALIBIO KLEIN,8,4770
RESTINGA,Rua ALVARO DIFINI,6,3645
RESTINGA,Rua ANTONIO ROCHA MEIRELLES LEITE,6,2639
RESTINGA,Rua ARMANDO PEREIRA NUNES,16,3753
RESTINGA,Rua BENTO SILVA NUNES,3,1583
RESTINGA,Rua CAPITAO PEDROSO,243,2893
RESTINGA,Rua CAROLINA,17,2285
RESTINGA,Rua CEL DASTRO DUTRA,9,4769
RESTINGA,Rua CELSO DIAS DIHL,8,4784
RESTINGA,Rua CLARA NUNES,30,2667
RESTINGA,Rua CLOVIS STENZEL,6,5790
RESTINGA,Rua DAS LARANJEIRAS LOT LARANJEIRAS,3,3176
RESTINGA,Rua DAVID CHERMAN,25,1962
RESTINGA,Rua DR CARLOS NIEDERAUER HOFMEISTER,12,2166
RESTINGA,Rua DR. ALDO LEÃO FERREIRA,13,5282
RESTINGA,Rua ENG HOMERO CARLOS SIMON,28,2231
RESTINGA,Rua ENG OSCAR DE OLIVEIRA RAMOS,13,2288
RESTINGA,Rua EUGENIO RODRIGUES,16,1635
RESTINGA,Rua FERNANDO VERONEZI,13,4402
RESTINGA,Rua GENNARINO LAITANO,12,5101
RESTINGA,Rua GOVERNADOR PERACCHI BARCELLOS,6,2583
RESTINGA,Rua ISRAEL STAROSTA,4,4389
RESTINGA,Rua JESSU OLIVEIRA SILVA,10,3313
RESTINGA,Rua JOEL IUCHNO,3,5179
RESTINGA,Rua MADRE ASSUNTA,10,5211
RESTINGA,Rua MALVINAS,7,1946
RESTINGA,Rua MIGUEL VALDOMIRO SCALABRIN,14,5246
RESTINGA,Rua MILTON DOS SANTOS MARTINS,14,5287
RESTINGA,Rua NAIR GARCIA MARTINS,58,4346
RESTINGA,Rua NAPOLEAO JACQUES DA ROSA,84,3438
RESTINGA,Rua NISIA FLORESTA,10,2333
RESTINGA,Rua OITO MIL OITOCENTOS TRINTA OITO,7,3806
RESTINGA,Rua OLIMPIO TABAJARA,19,4877
RESTINGA,Rua RUBEM PEREIRA TORELLY,16,2330
RESTINGA,Rua SABINO PEREIRA NUNES,407,3171
RESTINGA,Rua SETE MIL CENTO NOVENTA SETE,11,2456
RESTINGA,Rua SETE MIL OITO LOT RES RESTINGA,769,4410
RESTINGA,Rua SETE MIL QUATORZE LOT PARQUE SALSO,11,5132
RESTINGA,Rua SETE MIL QUINZE LOT PARQUE SALSO,5,6007
RESTINGA,Rua SEZEFREDO NUNES,5,4615
RESTINGA,Rua SILVIO R SIRANGELO,3,4333
RESTINGA,Rua SIMEAO MEIRA,24,5317
RESTINGA,Rua SOELY NUNES ROSA,72,3139
RESTINGA,Rua SOLON VIEIRA MARQUES,44,5376
RESTINGA,Rua TEN ARIZOLY FAGUNDES,3,2000
RESTINGA,Rua VITOR MATEUS TEIXEIRA,4,2982
RIO BRANCO,Avenida GOETHE,7,3093
RIO BRANCO,Avenida PROTASIO ALVES,53,4999
RIO BRANCO,LG DOS CAIXEIROS VIAJANTES,3,6392
RIO BRANCO,Lago DOS CAIXEIROS VIAJANTES,3,6440
RIO BRANCO,Rua ABRAHAO MELNICK,10,14402
RIO BRANCO,Rua ALMIRANTE ABREU,51,11493
RIO BRANCO,Rua CABRAL,56,5908
RIO BRANCO,Rua CASEMIRO DE ABREU,278,13727
RIO BRANCO,Rua CASTRO ALVES,114,8995
RIO BRANCO,Rua CEL AURELIO BITENCOURT,28,7805
RIO BRANCO,Rua CEL BORDINI,35,9651
RIO BRANCO,Rua CEL FREDERICO LINCK,6,3959
RIO BRANCO,Rua CEL JOAQUIM PEDRO SALGADO,8,7529
RIO BRANCO,Rua CEL PAULINO TEIXEIRA,108,12987
RIO BRANCO,Rua CESAR LOMBROSO,13,4124
RIO BRANCO,Rua CONEGO VIANA,17,9189
RIO BRANCO,Rua DONA LAURA,35,5536
RIO BRANCO,Rua DONA LEONOR,39,10318
RIO BRANCO,Rua DR FLORENCIO YGARTUA,14,7241
RIO BRANCO,Rua DR LAURO DE OLIVEIRA,12,13611
RIO BRANCO,Rua FRANCISCO FERRER,52,4598
RIO BRANCO,Rua GIORDANO BRUNO,25,4117
RIO BRANCO,Rua LIBERDADE,38,5378
