bairro,logradouro,n_transacoes,rs_m2_mediana
CENTRO HISTORIC,Avenida JULIO DE CASTILHOS,6,3072
CENTRO HISTORIC,Avenida LOUREIRO DA SILVA,44,6400
CENTRO HISTORIC,Avenida MAUA,12,3846
CENTRO HISTORIC,Avenida SENADOR SALGADO FILHO,154,3814
CENTRO HISTORIC,PCA CONDE DE PORTO ALEGRE,15,3601
CENTRO HISTORIC,PCA DOM FELICIANO,5,6509
CENTRO HISTORIC,PCA MARECHAL DEODORO,5,4203
CENTRO HISTORIC,PCA RAUL PILLA,8,5226
CENTRO HISTORIC,Pra̤a CONDE DE PORTO ALEGRE,19,4803
CENTRO HISTORIC,Pra̤a DOM FELICIANO,13,4967
CENTRO HISTORIC,Pra̤a MARECHAL DEODORO,3,4785
CENTRO HISTORIC,Pra̤a RAUL PILLA,7,5226
CENTRO HISTORIC,Rua AVAI,40,4408
CENTRO HISTORIC,Rua CEL FERNANDO MACHADO,209,5059
CENTRO HISTORIC,Rua CEL GENUINO,72,5495
CENTRO HISTORIC,Rua CEL VICENTE,53,4716
CENTRO HISTORIC,Rua DA  CONCEICAO,3,2188
CENTRO HISTORIC,Rua DEMETRIO RIBEIRO,338,4833
CENTRO HISTORIC,Rua DOS ANDRADAS,379,4733
CENTRO HISTORIC,Rua DR FLORES,68,4432
CENTRO HISTORIC,Rua DUQUE DE CAXIAS,550,5517
CENTRO HISTORIC,Rua ESPIRITO SANTO,41,4163
CENTRO HISTORIC,Rua GEN ANDRADE NEVES,29,3620
CENTRO HISTORIC,Rua GEN AUTO,28,4927
CENTRO HISTORIC,Rua GEN BENTO MARTINS,73,4688
CENTRO HISTORIC,Rua GEN CAMARA,29,4067
CENTRO HISTORIC,Rua GEN CANABARRO,7,4891
CENTRO HISTORIC,Rua GEN CYPRIANO FERREIRA,18,5213
CENTRO HISTORIC,Rua GEN JOAO MANOEL,53,5912
CENTRO HISTORIC,Rua GEN LIMA E SILVA,66,4921
CENTRO HISTORIC,Rua GEN PORTINHO,41,4435
CENTRO HISTORIC,Rua GEN SALUSTIANO,18,4779
CENTRO HISTORIC,Rua GEN VASCO ALVES,47,4686
CENTRO HISTORIC,Rua GEN VITORINO,53,3573
CENTRO HISTORIC,Rua JERONIMO COELHO,82,4568
CENTRO HISTORIC,Rua JOSE DO PATROCINIO,44,4371
CENTRO HISTORIC,Rua MARECHAL FLORIANO PEIXOTO,74,4016
CENTRO HISTORIC,Rua PINTO BANDEIRA,9,4249
CENTRO HISTORIC,Rua RIACHUELO,302,4589
CENTRO HISTORIC,Rua SENHOR DOS PASSOS,113,10022
CENTRO HISTORIC,Rua SIQUEIRA CAMPOS,9,4196
CENTRO HISTORIC,Rua VIGARIO JOSE IGNACIO,81,4643
CENTRO HISTORIC,Rua VINTE QUATRO DE MAIO,62,4639
CENTRO HISTORIC,Rua VOLUNTARIOS DA PATRIA,19,2611
CENTRO HISTORIC,Rua WASHINGTON LUIZ,80,4595
CENTRO HISTORIC,Travessa TUYUTY,27,5325
CHACARA PEDRAS,Avenida DR NILO PECANHA,12,8784
CHACARA PEDRAS,Avenida GEN BARRETO VIANA,26,7000
CHACARA PEDRAS,Avenida JOSE GERTUM,16,5754
CHACARA PEDRAS,Avenida PROTASIO ALVES,38,4647
CHACARA PEDRAS,Avenida TEIXEIRA MENDES,18,4852
CHACARA PEDRAS,Rua ARAPONGA,11,4083
